127.0.0.1, 2024-02-23 16:36:17, GET, /School/default/index, HTTP/1.1, 500, 5.544440
127.0.0.1, 2024-02-23 16:36:18, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2024-02-23 16:36:19, GET, /admin/default/ticket/School/127.0.0.1.2024-02-23.16-36-12.b1f6da7b-5eba-442c-829d-c10e7dd8e3ce, HTTP/1.1, 200, 0.017977
127.0.0.1, 2024-02-23 16:36:19, GET, /favicon.ico, HTTP/1.1, 400, 0.000997
127.0.0.1, 2024-02-23 16:38:28, GET, /, HTTP/1.1, 303, 0.000997
127.0.0.1, 2024-02-23 16:38:28, GET, /welcome/default/index, HTTP/1.1, 200, 0.198437
127.0.0.1, 2024-02-23 16:38:28, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.000000
127.0.0.1, 2024-02-23 16:38:30, GET, /admin/default/index, HTTP/1.1, 303, 0.112675
127.0.0.1, 2024-02-23 16:38:30, GET, /admin/default/site, HTTP/1.1, 200, 0.036894
127.0.0.1, 2024-02-23 16:38:30, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2024-02-23 16:38:31, GET, /School/default/index, HTTP/1.1, 500, 0.168492
127.0.0.1, 2024-02-23 16:38:31, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2024-02-23 16:38:32, GET, /admin/default/ticket/School/127.0.0.1.2024-02-23.16-38-31.aab7bbdd-1e1c-475e-b767-e1b9a3c62113, HTTP/1.1, 200, 0.040891
127.0.0.1, 2024-02-23 16:38:33, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2024-02-23 16:39:06, GET, /admin/default/ticket/School/127.0.0.1.2024-02-23.16-35-25.5dab4c13-ae28-4c51-95b8-36f16ab0da93, HTTP/1.1, 200, 0.016951
127.0.0.1, 2024-02-23 16:39:06, GET, /favicon.ico, HTTP/1.1, 400, 0.000999
127.0.0.1, 2024-02-23 16:39:06, GET, /admin/default/ticket/School/127.0.0.1.2024-02-23.16-35-25.5dab4c13-ae28-4c51-95b8-36f16ab0da93, HTTP/1.1, 200, 0.016986
127.0.0.1, 2024-02-23 16:39:06, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2024-02-23 16:39:12, GET, /, HTTP/1.1, 303, 0.000000
127.0.0.1, 2024-02-23 16:39:12, GET, /welcome/default/index, HTTP/1.1, 200, 0.019971
127.0.0.1, 2024-02-23 16:39:13, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.000997
